,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23,34,0,0,0.0
724,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25,31,2,0,2.4
725,Tiago Djaló,pt POR,DF,Juventus,it Serie A,23,1,0,0,0.0
726,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,19,1,0,0,0.0
727,Djené,tg TOG,"DF,MF",Getafe,es La Liga,31,33,0,0,0.1
728,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30,13,0,0,0.1
729,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30,37,0,1,0.8
730,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31,13,0,0,0.0
731,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17,1,0,0,0.0
732,Ritsu Doan,jp JPN,"DF,MF",Freiburg,de Bundesliga,25,30,7,2,5.0
733,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,20,12,1,0,0.3
734,Dodô,br BRA,DF,Fiorentina,it Serie A,24,9,0,0,0.1
735,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25,24,2,0,1.2
736,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,31,30,1,0,0.8
737,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21,12,0,0,0.2
738,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21,16,0,2,0.2
739,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,21,29,3,8,2.5
740,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21,2,1,0,0.6
741,Jaume Doménech,es ESP,GK,Valencia,es La Liga,32,2,0,0,0.0
742,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22,22,0,0,0.3
743,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19,3,0,0,0.2
744,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25,26,2,2,1.3
745,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25,2,0,0,0.0
746,Giulio Donati,it ITA,DF,Monza,it Serie A,33,4,0,0,0.0
747,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,18,3,0,0,0.0
748,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24,25,0,0,0.0
749,Patrick Dorgu,dk DEN,"DF,MF",Lecce,it Serie A,18,32,2,0,2.0
750,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25,21,0,0,0.7
751,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,24,35,2,4,2.2
752,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,22,17,0,0,0.2
753,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30,32,7,1,8.8
754,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23,11,0,0,0.3
755,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,21,11,1,3,0.9
756,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,18,31,4,4,2.4
757,Guela Doué,ci CIV,DF,Rennes,fr Ligue 1,20,24,0,2,0.5
758,Alfie Doughty,eng ENG,DF,Luton Town,eng Premier League,23,37,2,8,1.3
759,Douglas,br BRA,MF,Nantes,fr Ligue 1,26,25,0,0,1.2
760,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20,22,0,0,0.3
761,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20,25,6,5,4.2
762,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,23,32,7,1,4.6
763,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26,36,24,8,24.2
764,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,29,21,3,1,1.9
765,Damion Downs,us USA,"FW,MF",Köln,de Bundesliga,19,10,2,0,1.0
766,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,21,26,0,0,0.4
767,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,21,9,0,0,0.1
768,Radu Drăgușin,ro ROU,DF,Genoa,it Serie A,21,19,2,1,1.0
769,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21,26,2,0,3.0
770,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,18,8,0,0,0.0
771,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28,15,0,0,0.3
772,Rubén Duarte,es ESP,DF,Alavés,es La Liga,27,28,2,1,0.7
773,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34,23,0,0,0.0
774,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29,33,12,9,12.8
775,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28,32,1,4,2.2
776,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27,31,4,4,2.3
777,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,31,5,0,0,0.0
778,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30,30,2,5,1.5
779,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31,33,3,1,3.1
780,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,19,23,5,0,2.0
781,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,17,2,0,0,0.0
782,Hugo Duro,es ESP,FW,Valencia,es La Liga,23,37,13,2,11.5
783,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26,19,0,0,0.3
784,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,29,28,13,9,10.6
785,Aron Dønnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,25,27,0,1,1.0
786,George Earthy,eng ENG,FW,West Ham,eng Premier League,18,3,1,0,0.3
787,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,18,4,0,0,0.0
788,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20,31,0,0,0.8
789,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24,1,0,0,0.0
790,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27,15,0,1,0.3
791,Ederson,br BRA,GK,Manchester City,eng Premier League,29,33,0,0,0.0
792,Éderson,br BRA,MF,Atalanta,it Serie A,24,36,6,1,3.5
793,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,eng Premier League,25,30,7,0,6.2
794,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,30,6,0,0,0.2
795,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26,33,1,2,2.4
796,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,20,5,0,0,0.2
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28,23,0,1,1.3
798,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,24,8,0,0,0.1
799,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21,1,0,0,0.0
800,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,21,14,4,2,2.4
801,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21,1,0,0,0.0
802,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29,29,4,1,2.9
803,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21,36,5,9,6.6
804,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24,14,1,0,2.3
805,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20,34,3,6,2.7
806,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,23,11,2,0,0.5
807,Elif Elmas,mk MKD,"MF,FW",RB Leipzig,de Bundesliga,23,14,0,0,0.8
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31,3,0,0,0.1
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29,15,0,1,0.3
810,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,26,30,2,1,1.6
811,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31,36,3,2,4.3
812,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26,5,1,0,0.7
813,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,20,28,8,1,10.8
814,Emerson,br BRA,DF,Tottenham,eng Premier League,24,22,1,0,0.2
815,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26,33,16,2,10.8
816,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,19,12,0,2,1.4
817,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30,29,1,0,0.5
818,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,19,32,3,2,1.8
819,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31,22,1,2,1.0
820,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25,32,1,0,1.0
821,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30,25,1,2,1.9
822,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,2,0,0,0.0
823,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,31,31,0,1,1.0
824,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34,2,0,0,0.0
825,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,21,16,0,0,0.3
826,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21,12,1,1,0.2
827,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,26,6,0,0,0.5
828,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25,19,2,3,1.0
829,Karl Etta,cm CMR,FW,Cádiz,es La Liga,19,1,0,0,0.0
830,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35,23,0,1,0.1
831,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,27,11,4,9.1
832,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2,0,0,0.2
833,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,26,1,0,3.0
834,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,20,27,5,2,4.2
835,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38,10,0,0,0.0
836,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22,8,0,2,0.4
837,Romain Faivre,fr FRA,"MF,FW",Bournemouth,eng Premier League,25,5,0,0,0.2
838,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,17,5,1,2.8
839,Ilhan Fakili,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,3,0,0,0.2
840,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,22,1,0,2.7
841,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,38,0,0,0.0
842,Fali,es ESP,DF,Cádiz,es La Liga,29,30,0,0,0.8
843,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,11,0,1,0.4
844,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,8,0,1,0.1
845,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,20,19,2,0,3.4
846,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20,3,0,0,0.7
847,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,23,3,0,1.9
848,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36,17,1,0,0.4
849,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20,31,1,1,1.2
850,Peter Federico,do DOM,"MF,FW",Valencia,es La Liga,21,15,0,0,1.7
851,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30,19,1,2,2.2
852,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34,7,0,0,0.1
853,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,4,0,0,0.1
854,João Félix,pt POR,FW,Barcelona,es La Liga,23,30,7,3,8.7
855,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,33,2,0,1.4
856,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32,23,0,0,0.0
857,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,27,6,0,4.6
858,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,31,6,3,5.4
859,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,35,10,8,10.0
860,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,21,0,2,0.5
861,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,7,0,0,0.0
862,Álex Fernández,es ESP,MF,Cádiz,es La Liga,30,26,0,1,0.3
863,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27,10,2,1,1.5
864,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22,28,3,2,6.2
865,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,4,0,0,0.0
866,Valery Fernández,es ESP,"MF,FW",Girona,es La Liga,23,27,2,0,0.7
867,Fernando,es ESP,GK,Almería,es La Liga,33,4,0,0,0.0
868,Fernando,br BRA,MF,Sevilla,es La Liga,36,8,0,0,0.0
869,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,1,0,0,0.0
870,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,1,0,0,0.0
871,André Ferreira,pt POR,GK,Granada,es La Liga,27,15,0,0,0.0
872,João Ferreira,pt POR,DF,Udinese,it Serie A,22,35,0,1,0.1
873,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,30,1,1,0.6
874,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,8,1,0,1.2
875,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,1,0,0,0.1
876,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,3,0,0,0.1
877,Max Finkgräfe,de GER,"DF,FW",Köln,de Bundesliga,19,24,1,0,1.0
878,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,4,0,0,0.0
879,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,6,0,0,0.1
880,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,4,0,0,0.0
881,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,37,0,1,0.0
882,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,31,1,4,1.7
883,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,35,19,8,10.3
884,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,30,0,0,0.0
885,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,17,3,0,1.8
886,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,32,4,4,5.0
887,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,27,33,0,0,0.5
888,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,27,0,1,0.2
889,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,34,5,1,4.0
890,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,3,0,0,0.4
891,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,15,0,0,0.3
892,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,15,3,2,1.8
893,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,14,2,1,1.4
894,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,4,0,1,0.0
895,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28,13,0,0,0.5
896,Héctor Fort,es ESP,DF,Barcelona,es La Liga,16,7,0,2,0.0
897,Lyle Foster,za RSA,"FW,MF",Burnley,eng Premier League,22,24,5,3,4.5
898,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30,33,0,0,0.6
899,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,25,12,1,1,0.4
900,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,19,10,0,1,0.4
901,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,23,20,0,1,0.3
902,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28,30,3,2,3.7
903,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18,7,0,0,0.3
904,Davide Frattesi,it ITA,MF,Inter,it Serie A,23,32,6,3,7.1
905,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22,37,2,5,1.7
906,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31,32,1,1,1.2
907,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25,25,1,0,0.2
908,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,27,24,0,0,0.6
909,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,22,31,9,7,8.2
910,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26,36,2,0,2.6
911,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,25,34,8,7,6.6
912,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,19,5,0,0,0.2
913,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26,29,1,2,3.2
914,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30,2,0,0,0.5
915,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30,29,12,8,12.4
916,Gerardo Fusco,it ITA,FW,Salernitana,it Serie A,18,1,0,0,0.0
917,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1,0,0,0.0
918,Matteo Gabbia,it ITA,DF,Milan,it Serie A,23,18,2,1,1.6
919,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,23,7,0,0,0.0
920,Gianluca Gaetano,it ITA,"FW,MF",Cagliari,it Serie A,23,11,4,1,1.3
921,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23,9,1,0,0.6
922,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29,33,1,2,2.9
923,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24,35,8,5,9.0
924,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,28,5,0,0,0.0
925,Javi Galán,es ESP,DF,Real Sociedad,es La Liga,28,14,0,1,0.1
926,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,29,29,1,1,0.3
927,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,26,2,0,0,0.0
928,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23,37,5,7,4.2
929,Antonino Gallo,it ITA,DF,Lecce,it Serie A,23,35,0,3,0.5
930,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,33,22,0,1,0.1
931,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36,27,4,2,3.4
932,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,25,4,0,1.3
933,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24,6,0,0,0.4
934,Aleix García,es ESP,MF,Girona,es La Liga,26,37,3,6,1.8
935,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,30,32,6,1,6.2
936,Dani García,es ESP,MF,Athletic Club,es La Liga,33,17,1,0,0.8
937,David García,es ESP,DF,Osasuna,es La Liga,29,27,0,1,1.0
938,Eric García,es ESP,DF,Barcelona,es La Liga,22,2,0,0,0.0
939,Eric García,es ESP,DF,Girona,es La Liga,22,30,5,0,2.8
940,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,23,25,1,5,0.5
941,Gonzalo García,es ESP,"FW,MF",Real Madrid,es La Liga,19,2,0,0,0.0
942,Jastin García,es ESP,FW,Girona,es La Liga,19,3,0,0,0.0
943,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,37,20,1,0,0.9
944,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,30,30,3,2,2.3
945,Santiago García,es ESP,FW,Getafe,es La Liga,21,1,0,0,0.0
946,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,27,13,0,0,0.5
947,Unai García,es ESP,DF,Osasuna,es La Liga,31,9,1,0,0.1
948,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19,36,7,4,8.4
949,James Garner,eng ENG,MF,Everton,eng Premier League,22,37,1,2,2.7
950,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29,12,0,0,0.7
951,Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,18,14,0,0,0.0
952,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,35,28,0,0,0.3
953,Federico Gatti,it ITA,DF,Juventus,it Serie A,25,32,4,0,5.5
954,Federico Gattoni,ar ARG,"DF,FW",Sevilla,es La Liga,24,2,0,0,0.0
955,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,18,12,1,1,0.9
956,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31,38,0,0,0.0
957,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,16,3,2,1.2
958,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,25,3,0,0,0.0
959,Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,22,16,1,2,0.8
960,Francesco Gelli,it ITA,"MF,DF",Frosinone,it Serie A,26,27,0,0,0.7
961,Luca Gemello,it ITA,GK,Torino,it Serie A,23,2,0,0,0.0
962,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,23,37,2,3,1.6
963,Denis Genreau,au AUS,"MF,FW",Toulouse,fr Ligue 1,24,9,0,0,0.4
964,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,29,25,2,1,1.9
965,Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,de Bundesliga,28,3,0,1,0.1
966,Farés Ghedjemis,fr FRA,"FW,MF",Frosinone,it Serie A,20,6,0,0,0.1
967,Saman Ghoddos,ir IRN,DF,Brentford,eng Premier League,29,19,1,0,0.3
968,Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,29,7,1,0,0.4
969,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,eng Premier League,23,37,5,10,6.9
970,Samuel Gigot,fr FRA,DF,Marseille,fr Ligue 1,29,21,3,0,2.4
971,Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22,11,0,0,0.8
972,David Gil,es ESP,GK,Cádiz,es La Liga,29,5,0,0,0.0
973,Mario Gila,es ESP,DF,Lazio,it Serie A,22,21,0,0,0.5
974,Alfie Gilchrist,eng ENG,DF,Chelsea,eng Premier League,19,11,1,0,0.3
975,Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,22,30,0,1,1.0
976,Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,26,24,1,1,1.4
977,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,19,14,0,0,0.4
978,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,29,23,0,2,1.4
979,Olivier Giroud,fr FRA,FW,Milan,it Serie A,36,35,15,8,14.2
980,Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,18,25,1,4,2.2
981,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,de Bundesliga,33,22,0,0,0.5
982,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,28,10,3,1,2.4
983,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,25,15,0,0,1.7
984,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,29,13,0,0,0.5
985,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,28,7,0,0,0.0
986,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,27,25,6,6,3.4
987,André Gomes,pt POR,"MF,FW",Everton,eng Premier League,30,12,1,0,0.3
988,Angel Gomes,eng ENG,MF,Lille,fr Ligue 1,22,31,0,8,2.0
989,João Gomes,br BRA,MF,Wolves,eng Premier League,22,34,2,1,1.7
990,Toti Gomes,pt POR,DF,Wolves,eng Premier League,24,35,1,3,1.6
991,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,26,32,0,1,0.8
992,Maxi Gómez,uy URU,FW,Cádiz,es La Liga,26,31,0,0,1.6
993,Moi Gómez,es ESP,"MF,FW",Osasuna,es La Liga,29,28,3,0,1.7
994,Papu Gómez,ar ARG,"MF,FW",Monza,it Serie A,35,2,0,0,0.0
995,Sergio Gómez,es ESP,"FW,MF",Manchester City,eng Premier League,22,6,0,1,0.2
996,Unai Gómez,es ESP,MF,Athletic Club,es La Liga,20,25,2,0,1.5
997,Iron Gomis,fr FRA,MF,Salernitana,it Serie A,23,5,0,0,0.6
998,Maxime Gonalons,fr FRA,MF,Clermont Foot,fr Ligue 1,34,21,1,0,0.4
999,Édgar González,es ESP,"DF,MF",Almería,es La Liga,26,31,2,0,2.3
1000,Enso Gonzalez,py PAR,"MF,DF",Wolves,eng Premier League,18,1,0,0,0.0
1001,Fabio González,es ESP,MF,Las Palmas,es La Liga,26,6,0,0,0.0
1002,Giovanni González,uy URU,DF,Mallorca,es La Liga,28,34,1,1,0.5
1003,Hugo González,es ESP,"MF,FW",Valencia,es La Liga,20,9,0,1,0.0
1004,Iñaki González,es ESP,MF,Las Palmas,es La Liga,19,1,0,0,0.0
1005,Joan Gonzàlez,es ESP,MF,Lecce,it Serie A,21,29,1,1,1.2
1006,Nicolás González,ar ARG,FW,Fiorentina,it Serie A,25,29,12,2,10.4
1007,Urko González,es ESP,MF,Real Sociedad,es La Liga,22,5,0,0,0.1
1008,Anthony Gordon,eng ENG,FW,Newcastle Utd,eng Premier League,22,35,11,10,10.2
1009,Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,18,1,0,0,0.0
1010,Daniel Gore,eng ENG,MF,Manchester Utd,eng Premier League,18,1,0,0,0.0
1011,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,28,30,6,7,5.0
1012,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,32,1,0,0,0.0
1013,Andoni Gorosabel,es ESP,DF,Alavés,es La Liga,26,36,1,0,0.7
1014,Robin Gosens,de GER,"DF,MF",Union Berlin,de Bundesliga,29,30,6,3,2.1
1015,Mario Götze,de GER,MF,Eint Frankfurt,de Bundesliga,31,30,3,2,2.9
1016,Amine Gouiri,dz ALG,"FW,MF",Rennes,fr Ligue 1,23,31,7,3,7.4
1017,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,32,30,1,0,1.3
1018,Pablo Gozalbez,es ESP,"MF,FW",Valencia,es La Liga,22,5,0,0,0.0
1019,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,30,26,1,0,0.3
1020,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,34,2,0,1,0.0
1021,Samuel Grandsir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,26,23,1,1,2.6
1022,Alberto Grassi,it ITA,MF,Empoli,it Serie A,28,27,0,1,1.1
1023,Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,21,26,1,0,2.0
1024,Ryan Gravenberch,nl NED,FW,Bayern Munich,de Bundesliga,21,1,0,0,0.0
1025,Adrian Grbić,at AUT,FW,Lorient,fr Ligue 1,26,1,0,0,0.1
1026,Ivo Grbić,hr CRO,GK,Sheffield Utd,eng Premier League,27,9,0,0,0.0
1027,Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,27,20,3,1,2.1
