Player,Overall,Goals,Assists,Expected Goals,Pace,Shooting,Passing,Dribbling,Defending,Physicality,National Team,League,Club Team,Age,Height_cm,Weight_kg,Position
Claudio Bravo,70,0,0,0.0,74,47,60,64,67,71,Argentina,La Liga,Betis,27,170,68,LB
Fabian Bredlow,71,0,0,0.0,71,67,66,74,39,68,Germany,Bundesliga,Stuttgart,29,190,89,GK
Tim Breithaupt,69,0,0,0.1,49,41,60,59,69,68,Germany,Bundesliga,Augsburg,22,186,70,CDM
Josip Brekalo,76,1,0,0.4,75,72,75,81,38,54,Croatia,Serie A,Fiorentina,26,175,70,CAM
Brenner,72,0,0,0.4,77,71,63,76,32,54,Brazil,Serie A,Udinese,24,175,70,ST
Marco Brescianini,69,4,2,2.3,53,64,64,66,63,72,Italy,Serie A,Frosinone,24,188,80,CM
Maximilian Breunig,66,0,0,0.0,65,65,47,63,26,67,Germany,Bundesliga,Freiburg,24,194,85,ST
Rhian Brewster,67,0,0,0.4,76,68,55,70,20,61,England,Premier League,Sheffield Utd,24,180,75,ST
Bennit Bröger,64,0,0,0.0,66,45,59,73,35,41,Germany,Bundesliga,Wolfsburg,18,181,71,CAM
Dylan Bronn,70,0,0,0.0,60,61,64,61,70,75,Tunisia,Serie A,Salernitana,29,185,76,CB
Andre Brooks,66,0,0,0.4,70,60,62,68,44,53,England,Premier League,Sheffield Utd,21,180,70,CAM
David Brooks,74,1,1,2.2,65,69,73,77,48,58,Wales,Premier League,Bournemouth,27,177,62,RM
Moritz Broschinski,69,2,3,2.4,76,68,57,67,31,63,Germany,Bundesliga,Bochum,23,190,80,ST
Jacob Brown,69,2,0,2.8,73,69,62,69,48,72,Scotland,Premier League,Luton Town,26,184,72,ST
Josh Brownhill,74,4,2,1.9,66,70,72,73,72,77,England,Premier League,Burnley,28,180,69,CM
Alexander Brunst,66,0,0,0.0,67,65,61,68,38,65,Germany,Bundesliga,Darmstadt 98,29,195,88,GK
Jacob Bruun Larsen,73,6,0,5.0,81,72,70,73,55,66,Denmark,Premier League,Burnley,25,183,77,LM
Tajon Buchanan,74,1,0,0.2,92,65,66,74,67,73,Canada,Serie A,Inter,25,183,69,RM
Ante Budimir,78,17,2,14.2,59,79,52,74,35,77,Croatia,La Liga,Osasuna,33,190,75,ST
Hugo Bueno,72,0,0,0.3,75,53,71,77,65,65,Spain,Premier League,Wolves,21,180,73,LB
Manu Bueno,65,0,0,0.0,60,60,58,65,61,57,Spain,La Liga,Sevilla,20,178,73,CM
Santiago Bueno,77,0,0,0.0,50,31,56,56,78,78,Uruguay,Premier League,Wolves,25,190,76,CB
Marius Bülter,75,1,4,1.4,84,76,68,73,48,76,Germany,Bundesliga,Hoffenheim,31,188,85,LM
Facundo Buonanotte,73,3,1,2.4,75,67,70,76,30,52,Argentina,Premier League,Brighton,19,174,66,RM
Alessandro Buongiorno,80,3,0,1.6,65,45,69,65,82,76,Italy,Serie A,Torino,25,190,86,CB
Jonathan Burkardt,76,8,2,6.1,75,75,67,78,43,76,Germany,Bundesliga,Mainz 05,24,181,79,ST
Oliver Burke,67,0,0,0.0,87,63,61,62,37,73,Scotland,Bundesliga,Werder Bremen,27,188,82,RM
Reece Burke,70,0,4,1.3,61,36,54,61,71,73,England,Premier League,Luton Town,28,189,81,CB
Dan Burn,78,2,2,3.1,42,36,67,63,77,84,England,Premier League,Newcastle Utd,32,198,87,CB
Mason Burstow,61,0,0,0.0,73,60,45,58,20,65,England,Premier League,Chelsea,21,187,79,ST
Marnon Busch,72,0,0,0.1,81,53,63,70,66,74,Germany,Bundesliga,Heidenheim,29,182,79,RB
Maxime Busi,70,0,0,0.2,69,49,63,68,67,66,Belgium,Ligue 1,Reims,24,182,78,RB
Aurélio Buta,75,1,1,0.5,87,60,69,77,67,67,Portugal,Bundesliga,Eint Frankfurt,27,172,66,RM
Marcin Bułka,79,0,0,0.1,79,76,71,81,27,79,Poland,Ligue 1,Nice,24,199,90,GK
Rémy Cabella,76,2,2,5.2,68,71,76,80,40,50,France,Ligue 1,Lille,34,171,68,CAM
Liberato Cacace,72,0,1,0.4,71,60,66,69,68,76,New Zealand,Serie A,Empoli,23,184,81,LB
Anthony Caci,74,2,3,1.5,69,54,70,70,72,74,France,Bundesliga,Mainz 05,27,185,76,LB
Moisés Caicedo,82,1,3,0.4,75,63,75,78,79,78,Ecuador,Premier League,Chelsea,22,178,73,CDM
Tom Cairney,75,1,4,1.1,52,72,78,75,63,65,Scotland,Premier League,Fulham,33,186,84,CM
Davide Calabria,80,1,3,1.3,78,57,70,76,79,71,Italy,Serie A,Milan,27,177,70,RB
Riccardo Calafiori,78,2,5,1.4,69,65,70,72,78,77,Italy,Serie A,Bologna,22,188,86,CB
Mattia Caldara,70,0,0,0.2,35,44,55,62,71,68,Italy,Serie A,Milan,30,187,80,CB
Luca Caldirola,73,1,1,0.5,32,42,63,59,76,65,Italy,Serie A,Monza,33,186,79,CB
Duje Ćaleta-Car,75,0,0,0.5,59,39,57,59,74,78,Croatia,Ligue 1,Lyon,27,192,89,CB
Hakan Çalhanoğlu,86,13,3,10.1,71,80,87,85,79,76,Turkey,Serie A,Inter,30,178,69,CDM
Dominic Calvert-Lewin,77,7,2,12.9,75,74,63,73,39,76,England,Premier League,Everton,27,187,71,ST
Lamine Camara,73,1,4,2.2,79,65,73,74,57,59,Senegal,Ligue 1,Metz,20,173,65,CM
Mahdi Camara,76,7,3,4.9,61,63,72,76,75,75,France,Ligue 1,Brest,26,178,69,CM
Eduardo Camavinga,83,0,2,0.9,80,67,81,84,78,80,France,La Liga,Real Madrid,21,182,68,CM
Nicolò Cambiaghi,74,1,1,3.9,77,72,65,77,38,68,Italy,Serie A,Empoli,23,173,74,LW
Andrea Cambiaso,77,2,3,2.2,78,61,76,77,72,66,Italy,Serie A,Juventus,24,182,77,RB
Axel Camblan,62,0,0,0.2,76,54,60,66,41,40,France,Ligue 1,Brest,21,168,60,LW
Sergio Camello,73,3,1,4.5,70,74,65,75,28,56,Spain,La Liga,Rayo Vallecano,23,177,69,ST
Emre Can,82,2,2,2.2,77,78,74,76,82,86,Germany,Bundesliga,Dortmund,30,186,86,CDM
Matteo Cancellieri,72,4,3,4.7,79,69,69,77,38,59,Italy,Serie A,Empoli,22,180,79,LW
João Cancelo,86,2,4,1.6,81,73,85,85,80,72,Portugal,La Liga,Barcelona,30,182,74,LB
Fali Candé,71,0,1,0.8,80,50,62,65,72,75,Guinea-Bissau,Ligue 1,Metz,26,184,82,CB
Sergi Canós,73,1,2,2.8,71,73,71,74,60,72,Spain,La Liga,Valencia,27,175,66,LM
Luigi Canotto,70,0,0,0.0,74,64,66,72,41,54,Italy,Serie A,Frosinone,30,178,71,RW
Gianluca Caprari,77,0,0,0.7,77,74,76,80,36,49,Italy,Serie A,Monza,31,176,72,CAM
Elia Caprile,74,0,0,0.0,72,72,72,77,48,74,Italy,Serie A,Empoli,23,191,73,GK
Maxence Caqueret,78,1,3,2.1,75,62,75,79,75,73,France,Ligue 1,Lyon,24,174,63,CM
Andrea Carboni,69,1,0,1.2,60,36,55,61,71,67,Italy,Serie A,Monza,23,187,80,CB
Irvin Cardona,73,0,0,0.2,84,72,66,72,28,64,France,Bundesliga,Augsburg,27,185,75,ST
Marc Cardona,71,4,1,4.2,79,69,62,70,27,69,Spain,La Liga,Las Palmas,29,183,70,ST
Sergi Cardona,75,1,2,2.7,81,43,64,68,73,74,Spain,La Liga,Las Palmas,25,186,76,LB
Johnny Cardoso,76,1,2,1.1,73,66,72,75,75,67,United States,La Liga,Betis,22,186,78,CDM
Diego Carlos,80,0,0,1.9,63,47,63,67,79,76,Brazil,Premier League,Aston Villa,31,186,79,CB
Carmona,72,1,1,0.8,73,65,68,70,68,66,Spain,La Liga,Getafe,22,183,80,RM
Marco Carnesecchi,82,0,0,0.0,84,79,71,85,30,83,Italy,Serie A,Atalanta,24,191,83,GK
Yannick Carrasco,83,0,1,0.1,88,81,80,85,59,67,Belgium,La Liga,Atlético Madrid,31,181,73,LW
Álvaro Carreras,72,0,0,0.4,80,56,73,75,64,70,Spain,La Liga,Granada,21,186,78,LB
Rasmus Carstensen,69,0,0,0.9,73,48,63,67,63,71,Denmark,Bundesliga,Köln,23,183,76,RB
Dani Carvajal,86,4,3,1.7,81,58,79,81,81,79,Spain,La Liga,Real Madrid,32,173,73,RB
William Carvalho,80,1,3,0.4,37,68,78,76,76,84,Portugal,La Liga,Betis,32,187,79,CDM
Cesare Casadei,71,0,0,0.0,66,69,70,70,65,70,Italy,Premier League,Chelsea,21,186,77,CM
Nicolò Casale,77,0,0,0.9,74,53,66,68,77,77,Italy,Serie A,Lazio,26,191,80,CB
Casemiro,84,1,2,3.5,38,74,77,69,82,82,Brazil,Premier League,Manchester Utd,32,185,84,CDM
Matty Cash,79,2,2,4.2,77,66,71,75,75,76,Poland,Premier League,Aston Villa,27,185,74,RB
Josué Casimir,71,0,5,1.9,83,67,62,72,43,65,France,Ligue 1,Le Havre,22,180,72,RM
Giuseppe Caso,71,0,0,0.3,79,68,63,75,27,41,Italy,Serie A,Frosinone,25,172,65,LW
Timothy Castagne,77,1,3,1.6,72,57,71,73,74,72,Belgium,Premier League,Fulham,28,185,80,RB
Koen Casteels,82,0,0,0.0,82,79,74,85,45,83,Belgium,Bundesliga,Wolfsburg,32,197,86,GK
Jean-Charles Castelletto,75,2,0,0.6,68,32,51,63,76,76,Cameroon,Ligue 1,Nantes,29,186,78,CB
Santiago Castro,73,1,1,1.0,79,73,59,73,40,65,Argentina,Serie A,Bologna,19,182,76,ST
Gaetano Castrovilli,77,1,2,0.3,69,67,76,82,66,65,Italy,Serie A,Fiorentina,27,187,71,CM
Danilo Cataldi,77,1,0,0.4,68,71,77,78,73,71,Italy,Serie A,Lazio,30,180,70,CDM
Catena,79,1,3,1.3,65,39,63,53,80,78,Spain,La Liga,Osasuna,29,194,82,CB
Maximiliano Caufriez,71,0,1,0.4,56,30,57,57,71,74,Belgium,Ligue 1,Clermont Foot,27,189,83,CB
Dani Ceballos,79,0,2,0.3,63,70,79,82,70,67,Spain,La Liga,Real Madrid,28,179,70,CM
Zeki Çelik,75,0,0,0.2,71,59,69,70,73,76,Turkey,Serie A,Roma,27,180,78,RB
Álex Centelles,71,0,1,0.0,74,52,66,69,66,74,Spain,La Liga,Almería,25,185,73,LB
Václav Černý,74,4,1,2.3,83,70,66,76,38,64,Czech Republic,Bundesliga,Wolfsburg,26,182,65,RM
Michele Cerofolini,65,0,0,0.0,66,63,62,67,37,66,Italy,Serie A,Frosinone,25,188,80,GK
Alberto Cerri,67,1,0,1.2,40,71,51,61,37,73,Italy,Serie A,Empoli,28,194,91,ST
Leonardo Cerri,60,0,0,0.0,37,62,47,52,32,69,Italy,Serie A,Juventus,21,198,88,ST
Franco Cervi,76,0,1,0.5,88,67,72,78,55,52,Argentina,La Liga,Celta Vigo,30,165,62,LM
Julian Chabot,77,0,0,1.4,51,29,44,56,78,83,Germany,Bundesliga,Köln,26,195,95,CB
El Chadaille Bitshiabu,68,0,0,0.0,57,36,54,50,66,76,France,Bundesliga,RB Leipzig,19,196,95,CB
Trevoh Chalobah,78,1,0,0.2,67,50,67,67,78,78,England,Premier League,Chelsea,25,192,75,CB
Muhammed Cham,74,8,4,9.4,76,68,71,75,25,51,Austria,Ligue 1,Clermont Foot,23,180,67,CAM
Calum Chambers,74,0,1,0.0,52,56,70,68,75,67,England,Premier League,Aston Villa,29,182,77,CB
Brendan Chardonnet,77,1,1,1.5,48,46,54,60,78,76,France,Ligue 1,Brest,29,181,74,CB
Pep Chavarría,70,1,1,1.0,82,49,64,67,64,74,Spain,La Liga,Rayo Vallecano,26,174,72,LB
Jhoanner Chávez,72,0,0,0.3,85,58,63,70,65,67,Ecuador,Ligue 1,Lens,22,182,76,LB
Walid Cheddira,74,7,1,9.0,80,73,64,68,41,76,Morocco,Serie A,Frosinone,26,187,80,ST
Rayan Cherki,75,1,6,5.2,68,67,74,84,21,61,France,Ligue 1,Lyon,21,177,71,CAM
Youssef Chermiti,71,0,0,0.7,67,68,55,69,33,71,Portugal,Premier League,Everton,20,192,81,ST
Lucas Chevalier,80,0,0,0.0,80,79,72,83,45,78,France,Ligue 1,Lille,22,189,78,GK
Fabio Chiarodia,64,0,0,0.0,66,33,49,56,65,63,Italy,Bundesliga,Gladbach,19,186,78,CB
Federico Chiesa,84,9,2,6.4,93,83,76,86,52,75,Italy,Serie A,Juventus,26,175,70,RW
Ben Chilwell,79,0,1,1.2,76,60,78,77,75,72,England,Premier League,Chelsea,27,181,77,LB
Pedro Chirivella,76,1,1,1.5,54,54,71,71,70,72,Spain,Ligue 1,Nantes,27,178,66,CDM
Leon Chiwome,56,0,0,0.1,78,54,43,53,17,54,England,Premier League,Wolves,18,186,75,ST
Tahith Chong,71,4,0,2.7,77,66,70,72,54,63,Holland,Premier League,Luton Town,24,185,75,CAM
Joris Chotard,75,0,3,0.6,64,57,73,75,71,68,France,Ligue 1,Montpellier,22,179,70,CDM
Andreas Christensen,83,2,2,1.0,67,32,68,71,85,76,Denmark,La Liga,Barcelona,28,187,82,CB
Jacob Christensen,71,0,0,0.0,70,56,68,70,67,69,Denmark,Bundesliga,Köln,23,178,65,CDM
Oliver Christensen,73,0,0,0.0,75,70,69,79,44,69,Denmark,Serie A,Fiorentina,25,190,82,GK
Ryan Christie,76,0,5,2.3,76,70,75,77,71,78,Scotland,Premier League,Bournemouth,29,178,79,CM
Carney Chukwuemeka,72,1,1,0.2,65,65,68,76,50,63,England,Premier League,Chelsea,20,187,77,CAM
Samuel Chukwueze,80,1,3,1.7,88,74,74,83,36,61,Nigeria,Serie A,Milan,25,172,70,RW
Chumi,69,0,1,1.0,51,36,53,56,70,68,Spain,La Liga,Almería,25,185,75,CB
Víctor Chust,71,0,1,0.3,68,30,52,54,72,67,Spain,La Liga,Cádiz,24,184,76,CB
Pathé Ciss,74,1,0,1.5,62,56,61,63,72,84,Senegal,La Liga,Rayo Vallecano,30,186,71,CDM
Alphadjo Cissè,64,0,0,0.0,77,59,62,67,46,51,Italy,Serie A,Hellas Verona,17,176,69,CAM
Ibrahim Cissoko,69,1,1,0.8,79,60,63,73,32,55,Holland,Ligue 1,Toulouse,21,178,69,LW
Patrick Ciurria,77,0,1,1.5,81,72,77,77,53,58,Italy,Serie A,Monza,29,178,67,RM
Bobby Clark,62,0,0,0.1,68,54,62,69,50,56,England,Premier League,Liverpool,19,178,67,CM
Jordan Clark,71,1,1,1.0,68,63,71,73,64,68,England,Premier League,Luton Town,30,176,73,CAM
Jonathan Clauss,80,3,4,1.3,88,69,76,78,73,69,France,Ligue 1,Marseille,31,178,69,RB
Nathaniel Clyne,74,0,0,0.2,70,60,68,72,74,67,England,Premier League,Crystal Palace,33,175,67,RB
Marcus Coco,71,1,0,0.8,79,66,67,72,59,57,France,Ligue 1,Nantes,28,184,78,RM
Saúl Coco,75,1,0,1.1,85,56,58,60,76,78,Equatorial Guinea,La Liga,Las Palmas,25,188,76,CB
Séamus Coleman,74,0,0,0.0,53,65,71,73,76,70,Republic of Ireland,Premier League,Everton,35,177,77,RB
Maxime Colin,70,0,0,0.3,70,43,62,65,68,74,France,Ligue 1,Metz,32,180,76,RB
Nathan Collins,75,1,1,1.7,61,30,55,62,76,76,Republic of Ireland,Premier League,Brentford,23,193,81,CB
Nnamdi Collins,63,0,0,0.0,83,25,45,50,61,68,Germany,Bundesliga,Eint Frankfurt,20,191,84,CB
Lorenzo Colombo,73,4,1,3.6,68,75,51,70,29,72,Italy,Serie A,Monza,22,183,74,ST
Andrea Colpani,78,8,4,4.8,76,76,78,78,65,70,Italy,Serie A,Monza,25,184,75,CAM
Levi Colwill,77,1,1,1.3,69,40,68,68,77,77,England,Premier League,Chelsea,21,187,83,CB
Kingsley Coman,84,3,3,2.8,89,75,79,87,30,62,France,Bundesliga,Bayern Munich,28,181,75,LM
Eray Cömert,73,2,0,0.7,71,49,62,56,73,77,Switzerland,Ligue 1,Nantes,26,183,80,CB
Santi Comesaña,75,2,0,1.9,57,69,68,73,76,74,Spain,La Liga,Villarreal,27,184,75,CM
Pietro Comuzzo,60,0,0,0.0,41,27,38,37,63,55,Italy,Serie A,Fiorentina,19,183,75,CB
Andrea Consigli,75,0,0,0.0,76,73,70,75,40,77,Italy,Serie A,Sassuolo,37,189,82,GK
Bambasé Conté,60,0,0,0.2,66,58,56,64,29,46,Germany,Bundesliga,Hoffenheim,21,182,76,LM
Lewis Cook,77,0,3,0.4,60,62,75,77,73,68,England,Premier League,Bournemouth,27,175,71,CDM
Copete,75,1,1,0.5,57,33,54,57,77,70,Spain,La Liga,Mallorca,24,192,73,CB
Diego Coppola,71,2,0,1.2,53,40,55,50,73,65,Italy,Serie A,Hellas Verona,20,192,78,CB
Tommaso Corazza,65,0,0,0.1,66,56,61,67,65,58,Italy,Serie A,Bologna,20,174,72,LB
Theo Corbeanu,69,1,0,0.3,78,58,67,71,47,63,Canada,La Liga,Granada,22,190,83,RM
Maxwel Cornet,75,1,0,0.4,85,75,70,76,67,70,Côte d'Ivoire,Premier League,West Ham,27,179,69,LM
Ángel Correa,82,9,2,7.9,85,84,77,86,50,75,Argentina,La Liga,Atlético Madrid,29,171,70,ST
Joaquín Correa,74,0,0,0.6,65,73,73,78,40,64,Argentina,Ligue 1,Marseille,30,188,78,ST
Thierry Correia,78,0,2,0.6,92,50,70,77,72,71,Portugal,La Liga,Valencia,25,176,69,RB
Danny da Costa,73,0,1,0.3,75,56,64,69,70,79,Germany,Bundesliga,Mainz 05,31,187,87,RB
David Costa,75,4,2,3.0,76,70,73,81,34,46,Portugal,Ligue 1,Lens,23,168,64,CAM
Logan Costa,74,1,1,1.4,48,38,55,61,75,75,Cape Verde Islands,Ligue 1,Toulouse,23,188,87,CB
Grégoire Coudert,66,0,0,0.0,68,62,59,68,34,63,France,Ligue 1,Brest,25,188,83,GK
Vladimír Coufal,78,0,7,0.3,65,56,72,73,77,80,Czech Republic,Premier League,West Ham,32,175,76,RB
Lassana Coulibaly,74,0,1,0.6,69,58,69,72,72,75,Mali,Serie A,Salernitana,28,183,77,CDM
Mamadou Coulibaly,68,0,0,0.0,77,61,65,68,68,80,Senegal,Serie A,Salernitana,25,183,75,CM
Tanguy Coulibaly,70,1,0,2.6,79,59,62,76,42,61,France,Ligue 1,Montpellier,23,179,78,LM
Thibaut Courtois,89,0,0,0.0,85,89,76,90,46,88,Belgium,La Liga,Real Madrid,32,200,96,GK
Yan Couto,80,1,8,1.5,85,61,76,81,72,64,Brazil,La Liga,Girona,22,168,60,RM
Alessio Cragno,74,0,0,0.0,74,72,70,75,39,74,Italy,Serie A,Sassuolo,30,184,78,GK
Aaron Cresswell,74,0,0,0.0,59,59,74,74,75,62,England,Premier League,West Ham,34,175,66,LB
Bryan Cristante,81,3,4,4.0,55,74,78,75,78,84,Italy,Serie A,Roma,29,186,80,CM
Juan Cruz,75,0,0,0.0,73,40,62,64,73,73,Spain,Serie A,Hellas Verona,32,182,79,LB
Pau Cubarsí,72,0,0,0.1,67,25,58,69,74,63,Spain,La Liga,Barcelona,17,182,75,CB
Marc Cucurella,82,0,2,1.1,75,60,80,80,78,76,Spain,Premier League,Chelsea,26,173,67,LB
Iván Cuéllar,67,0,0,0.0,65,67,64,67,47,66,Spain,La Liga,Mallorca,40,187,76,GK
Jorge Cuenca,74,3,1,1.2,60,37,60,53,76,67,Spain,La Liga,Villarreal,24,190,75,CB
Josh Cullen,76,2,3,0.6,60,61,75,73,72,70,Republic of Ireland,Premier League,Burnley,28,175,70,CDM
Matheus Cunha,79,12,7,9.5,84,78,76,83,44,75,Brazil,Premier League,Wolves,25,183,76,ST
Eric Curbelo,75,0,0,0.0,84,38,66,67,75,81,Spain,La Liga,Las Palmas,30,181,77,CB
Sam Curtis,61,0,0,0.0,67,33,52,58,57,64,Republic of Ireland,Premier League,Sheffield Utd,18,185,76,RB
Tomáš Čvančara,75,4,1,5.9,77,73,66,72,25,77,Czech Republic,Bundesliga,Gladbach,24,190,86,ST
Danilo D'Ambrosio,75,0,0,0.7,59,56,66,68,77,72,Italy,Serie A,Monza,36,180,75,CB
Finn Dahmen,74,0,0,0.0,74,68,76,78,45,72,Germany,Bundesliga,Augsburg,26,188,80,GK
Thijs Dallinga,77,14,2,14.1,72,77,65,72,30,67,Holland,Ligue 1,Toulouse,24,190,72,ST
Diogo Dalot,82,2,3,1.7,85,63,77,80,79,79,Portugal,Premier League,Manchester Utd,25,183,76,RB
Mikkel Damsgaard,73,0,2,0.9,81,69,71,78,61,65,Denmark,Premier League,Brentford,24,180,70,CM
Flavius Daniliuc,74,0,0,0.2,52,42,61,60,74,77,Austria,Serie A,Salernitana,23,188,80,CB
Danilo,82,2,2,1.8,76,67,74,74,84,77,Brazil,Premier League,Nott'ham Forest,33,184,78,CB
Arnaut Danjuma,77,1,0,2.6,83,75,74,80,44,67,Holland,Premier League,Everton,27,178,74,ST
Jayden Danns,63,0,0,0.0,69,62,51,62,27,61,England,Premier League,Liverpool,18,185,73,ST
Kevin Danso,80,1,0,1.8,75,32,57,62,80,85,Austria,Ligue 1,Lens,25,190,85,CB
Dante,79,1,1,0.9,32,52,69,65,81,79,Brazil,Ligue 1,Nice,40,188,89,CB
Sergi Darder,82,2,5,2.2,79,78,82,83,74,77,Spain,La Liga,Mallorca,30,180,71,CM
Matteo Darmian,81,2,1,1.2,72,62,75,76,80,75,Italy,Serie A,Inter,34,183,70,RB
Lukas Daschner,70,1,1,2.3,72,69,65,73,47,66,Germany,Bundesliga,Bochum,25,182,76,ST
Josh Dasilva,73,0,0,0.0,71,71,72,74,64,74,England,Premier League,Brentford,25,184,75,CM
Juan David Cabal,74,0,0,0.5,71,38,68,65,74,73,Colombia,Serie A,Hellas Verona,23,186,80,LB
Jonathan David,81,19,4,17.5,82,81,71,78,34,75,Canada,Ligue 1,Lille,24,175,70,ST
Alphonso Davies,82,2,5,1.0,95,66,77,84,72,76,Canada,Bundesliga,Bayern Munich,23,185,77,LB
Ben Davies,76,1,0,2.3,58,58,72,72,77,72,Wales,Premier League,Tottenham,31,181,76,CB
Tom Davies,71,0,0,0.4,62,62,71,71,68,68,England,Premier League,Sheffield Utd,26,180,70,CM
Keinan Davis,71,1,0,0.5,64,69,54,71,43,81,England,Serie A,Udinese,26,189,68,ST
Paweł Dawidowicz,73,0,0,0.5,50,48,62,63,74,74,Poland,Serie A,Hellas Verona,29,189,80,CB
Craig Dawson,77,1,1,1.5,34,47,62,54,79,75,England,Premier League,Wolves,34,188,85,CB
Kevin De Bruyne,90,4,10,2.4,67,87,94,87,65,78,Belgium,Premier League,Manchester City,33,181,75,CM
Charles De Ketelaere,79,10,8,7.1,69,77,78,81,55,70,Belgium,Serie A,Atalanta,23,192,79,CAM
Rodrigo De Paul,84,3,5,1.8,76,77,83,82,76,82,Argentina,La Liga,Atlético Madrid,30,180,70,CM
Mattia De Sciglio,76,0,0,0.0,65,46,70,74,76,67,Italy,Serie A,Juventus,31,183,78,RB
Lorenzo De Silvestri,72,2,0,0.2,63,67,71,68,71,73,Italy,Serie A,Bologna,36,186,84,RB
Thibault De Smet,73,0,0,0.3,67,52,64,68,68,72,Belgium,Ligue 1,Reims,26,183,65,LB
Koni De Winter,72,0,1,0.8,67,39,57,66,73,71,Belgium,Serie A,Genoa,22,191,75,CB
Alessandro Deiola,69,1,0,2.5,53,67,64,64,70,77,Italy,Serie A,Cagliari,29,189,85,CM
Romain Del Castillo,79,8,8,5.2,84,76,78,81,42,65,France,Ligue 1,Brest,28,172,65,RW
Thomas Delaine,72,1,1,1.7,81,50,69,71,66,71,France,Ligue 1,Strasbourg,32,180,71,LB
Hannes Delcroix,72,0,0,0.4,67,33,61,62,72,70,Belgium,Premier League,Burnley,25,183,78,CB
Olivier Deman,72,2,1,1.1,66,63,69,71,66,71,Belgium,Bundesliga,Werder Bremen,24,181,70,LB
Karamoko Dembélé,70,0,0,0.0,83,64,64,74,43,43,England,Ligue 1,Brest,21,167,65,RW
Ousmane Dembélé,86,3,8,4.4,92,75,82,88,41,57,France,Ligue 1,Paris S-G,27,178,67,RW
Jessy Deminguet,71,0,0,0.3,71,63,71,73,62,74,France,Ligue 1,Strasbourg,26,178,74,CM
Ermedin Demirović,79,15,9,13.5,69,81,72,77,41,79,Bosnia and Herzegovina,Bundesliga,Augsburg,26,185,84,ST
Diego Demme,73,0,0,0.0,51,47,71,72,69,68,Germany,Serie A,Napoli,32,172,71,CDM
Sepp van den Berg,77,3,0,2.7,76,36,63,66,78,76,Holland,Bundesliga,Mainz 05,22,192,87,CB
Mikkel Desler,73,0,1,1.1,72,60,68,70,68,69,Denmark,Ligue 1,Toulouse,29,184,73,RB
Arthur Desmas,75,0,0,0.0,75,72,72,76,36,73,France,Ligue 1,Le Havre,30,196,87,GK
Samuele Di Benedetto,59,0,0,0.0,68,47,57,63,56,55,Germany,Bundesliga,Stuttgart,19,172,68,CDM
Federico Di Francesco,75,1,0,0.1,80,69,73,77,52,70,Italy,Serie A,Lecce,30,172,71,LW
Raffaele Di Gennaro,70,0,0,0.0,72,68,62,72,43,66,Italy,Serie A,Inter,30,188,80,GK
Michele Di Gregorio,80,0,0,0.0,82,78,78,82,56,82,Italy,Serie A,Monza,27,187,82,GK
Giovanni Di Lorenzo,82,1,6,3.1,83,67,73,76,79,80,Italy,Serie A,Napoli,31,183,82,RB
Alessandro Di Pardo,68,0,0,0.1,75,54,64,70,63,60,Italy,Serie A,Cagliari,25,182,75,RB
Boulaye Dia,79,4,0,3.9,81,80,62,77,27,75,Senegal,Serie A,Salernitana,27,180,75,ST
Moussa Diaby,83,6,8,7.0,95,75,74,86,43,53,France,Premier League,Aston Villa,25,170,67,RM
Lamine Diack,67,0,0,0.0,76,59,61,65,64,75,Senegal,Ligue 1,Nantes,23,186,79,CDM
Mouctar Diakhaby,76,1,0,0.7,62,39,55,60,77,76,Guinea,La Liga,Valencia,27,189,78,CB
Mamadou Diakhon,64,0,0,0.0,75,59,57,68,32,48,France,Ligue 1,Reims,18,180,75,RM
Bafodé Diakité,77,5,2,2.0,75,41,63,70,76,77,France,Ligue 1,Lille,23,185,74,CB
Ibrahim Diakité,64,0,0,0.0,77,42,51,62,61,66,Guinea,Ligue 1,Reims,20,178,75,RB
Moussa Diakité,61,0,0,0.0,62,51,56,55,58,68,Mali,La Liga,Cádiz,20,189,75,CDM
Oumar Diakité,72,5,1,7.0,79,71,57,70,21,69,Côte d'Ivoire,Ligue 1,Reims,20,182,75,ST
Amad Diallo,75,1,1,0.5,85,71,68,80,25,50,Côte d'Ivoire,Premier League,Manchester Utd,22,173,67,RM
Habib Diarra,73,3,1,3.4,68,63,69,73,69,70,Senegal,Ligue 1,Strasbourg,20,179,74,CM
Moussa Diarra,71,1,2,0.5,65,32,57,62,71,72,Mali,Ligue 1,Toulouse,23,185,73,LB
Rúben Dias,88,0,0,1.4,67,39,70,69,89,87,Portugal,Premier League,Manchester City,27,187,82,CB
Krépin Diatta,75,0,2,0.5,89,69,66,78,50,67,Senegal,Ligue 1,Monaco,25,175,69,RM
Mory Diaw,75,0,0,0.0,77,74,73,78,43,72,Senegal,Ligue 1,Clermont Foot,31,197,98,GK
Mahamadou Diawara,67,0,0,0.7,67,55,65,67,61,69,France,Ligue 1,Lyon,19,187,78,CM
Luis Díaz,84,8,5,11.9,90,80,75,87,39,75,Colombia,Premier League,Liverpool,27,180,73,LW
Justin Diehl,65,0,0,0.2,81,66,55,70,22,45,Germany,Bundesliga,Köln,19,174,67,LM
Bamba Dieng,72,4,1,3.2,79,73,60,70,33,60,Senegal,Ligue 1,Lorient,24,178,72,ST
Guillaume Dietsch,67,0,0,0.0,69,65,63,70,19,63,France,Ligue 1,Metz,23,184,73,GK
