Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Diego Sánchez,70,70,69,69,70,49,66,Chile,Sudamericana,Coquimbo Unido,37,"184cm / 6'0""",91kg / 201lb,GK
Adrián Sánchez,70,62,55,68,66,64,71,Argentina,Primera División,Atlético Tucumán,25,"177cm / 5'10""",73kg / 161lb,CM
Salvi Sánchez,70,85,63,66,71,36,46,Spain,LALIGA EA SPORTS,RCD Espanyol,33,"175cm / 5'9""",64kg / 141lb,RM
Agustín Sández,70,75,42,56,62,67,79,Argentina,Libertadores,Rosario Central,23,"181cm / 5'11""",78kg / 172lb,LB
Hevertton,70,79,57,64,70,64,72,Brazil,EFL Championship,QPR,23,"183cm / 6'0""",73kg / 161lb,RB
Kevin,70,78,63,66,74,33,54,Brazil,Ukrayina Liha,Shakhtar Donetsk,21,"176cm / 5'9""",68kg / 150lb,LW
Rúben Fernandes,70,52,51,58,56,72,75,Portugal,Liga Portugal,Gil Vicente,38,"187cm / 6'2""",81kg / 179lb,CB
Carlos Ponck,70,68,45,52,60,69,77,Cape Verde Islands,Liga Portugal,Moreirense FC,29,"183cm / 6'0""",84kg / 185lb,CB
Aitor Sanz,70,49,64,68,69,67,72,Spain,LALIGA HYPERMOTION,CD Tenerife,40,"181cm / 5'11""",71kg / 157lb,CDM
Noah Joel Sarenren Bazee,70,78,61,64,73,29,49,Nigeria,3. Liga,Arminia Bielefeld,28,"183cm / 6'0""",80kg / 176lb,RW
Elvis Sarić,70,64,61,69,70,62,72,Bosnia and Herzegovina,CSL,Qingdao Hainiu,34,"181cm / 5'11""",72kg / 159lb,CM
Zvonimir Šarlija,70,58,32,49,48,70,76,Croatia,Liga Hrvatska,Hajduk Split,28,"189cm / 6'2""",85kg / 187lb,CB
George Saville,70,60,66,69,69,68,73,Northern Ireland,EFL Championship,Millwall,31,"182cm / 6'0""",73kg / 161lb,CM
Bruno Sávio,70,72,69,64,69,26,60,Brazil,Libertadores,Bolívar,30,"184cm / 6'0""",70kg / 154lb,RW
Ron Schallenberg,70,60,49,59,64,69,73,Germany,Bundesliga 2,FC Schalke 04,25,"185cm / 6'1""",75kg / 165lb,CDM
Louis Schaub,70,60,66,70,73,41,66,Austria,Ö. Bundesliga,SK Rapid,29,"177cm / 5'10""",72kg / 159lb,CAM
Daniel Schmidt,70,70,69,69,72,17,66,Japan,1A Pro League,KAA Gent,32,"196cm / 6'5""",90kg / 198lb,GK
Ignacio Schor,70,75,62,67,70,51,64,Argentina,Primera División,Platense,24,"182cm / 6'0""",74kg / 163lb,LM
Rasmus Schüller,70,44,55,63,64,70,73,Finland,Allsvenskan,Djurgårdens IF,33,"177cm / 5'10""",67kg / 148lb,CDM
Patrick Schulte,70,69,65,75,71,21,68,United States,MLS,Columbus Crew,23,"193cm / 6'4""",79kg / 174lb,GK
Alexander Schwolow,70,72,62,63,73,37,70,Germany,Bundesliga,Union Berlin,32,"190cm / 6'3""",84kg / 185lb,GK
Léo Scienza,70,79,66,64,75,29,52,Brazil,Bundesliga,Heidenheim,26,"173cm / 5'8""",69kg / 152lb,LM
Stefano Scognamillo,70,78,45,58,59,69,78,Italy,Serie BKT,Catanzaro,30,"183cm / 6'0""",79kg / 174lb,CB
Paul Seguin,70,63,61,72,69,67,73,Germany,Bundesliga 2,FC Schalke 04,29,"186cm / 6'1""",82kg / 181lb,CM
Ken Sema,70,76,65,68,71,60,68,Sweden,EFL Championship,Watford,30,"180cm / 5'11""",69kg / 152lb,LW
Marvin Senaya,70,70,46,57,67,67,64,France,Ligue 1 McDonald's,Strasbourg,23,"179cm / 5'10""",65kg / 143lb,RB
Kaly Sène,70,85,71,62,73,27,68,Senegal,CSSL,Lausanne-Sport,23,"180cm / 5'11""",72kg / 159lb,ST
Leonardo Sequeira,70,77,70,60,67,35,61,Argentina,Libertadores,Peñarol,29,"177cm / 5'10""",74kg / 163lb,ST
Francho Serrano,70,70,62,68,70,62,68,Spain,LALIGA HYPERMOTION,Real Zaragoza,22,"177cm / 5'10""",72kg / 159lb,CM
Gaspar Servio,70,69,70,71,70,48,67,Argentina,Sudamericana,Guaraní,32,"185cm / 6'1""",86kg / 190lb,GK
Ilya Shkurin,70,73,66,60,66,35,80,Belarus,PKO BP Ekstraklasa,Stal Mielec,25,"188cm / 6'2""",80kg / 176lb,ST
Giuseppe Sibilli,70,79,69,64,73,34,68,Italy,Serie BKT,Bari,28,"180cm / 5'11""",76kg / 168lb,CAM
Jamil Siebert,70,74,33,50,52,68,80,Germany,Bundesliga 2,Düsseldorf,22,"193cm / 6'4""",86kg / 190lb,CB
Kaj Sierhuis,70,65,70,57,67,29,75,Holland,Eredivisie,Fortuna Sittard,26,"180cm / 5'11""",83kg / 183lb,ST
Francisco Sierralta,70,52,30,51,52,69,74,Chile,EFL Championship,Watford,27,"190cm / 6'3""",83kg / 183lb,CB
Manu Silva,70,59,40,59,56,69,76,Portugal,Liga Portugal,Vitória SC,23,"189cm / 6'2""",83kg / 183lb,CB
Romário Baró,70,71,66,69,72,56,60,Portugal,CSSL,FC Basel 1893,24,"180cm / 5'11""",66kg / 146lb,CM
Gabriel Magalhães Silva,70,76,67,64,71,27,58,Brazil,Liga Portugal,Santa Clara,22,"177cm / 5'10""",78kg / 172lb,RM
Aral Şimşir,70,76,62,65,72,36,60,Turkey,3F Superliga,FC Midtjylland,22,"177cm / 5'10""",71kg / 157lb,LM
Lassine Sinayoko,70,74,70,62,70,28,70,Mali,Ligue 1 McDonald's,AJ Auxerre,24,"186cm / 6'1""",81kg / 179lb,RM
Regan Slater,70,70,62,68,72,65,69,England,EFL Championship,Hull City,25,"171cm / 5'7""",66kg / 146lb,CM
Bartosz Slisz,70,70,54,66,67,65,73,Poland,MLS,Atlanta United,25,"180cm / 5'11""",76kg / 168lb,CM
Rafa Soares,70,74,60,67,70,66,66,Portugal,Liga Portugal,FC Famalicão,29,"177cm / 5'10""",72kg / 159lb,LB
Lucas Soares,70,82,37,57,69,65,60,Brazil,Liga Portugal,Santa Clara,26,"174cm / 5'9""",64kg / 141lb,RB
Eduard Sobol,70,74,64,67,68,67,69,Ukraine,Ligue 1 McDonald's,Strasbourg,29,"186cm / 6'1""",73kg / 161lb,LB
Markus Solbakken,70,70,58,68,72,60,70,Norway,Česká Liga,Sparta Praha,24,"182cm / 6'0""",70kg / 154lb,CM
Oliver Sonne,70,77,45,63,67,63,66,Peru,3F Superliga,Silkeborg IF,23,"184cm / 6'0""",76kg / 168lb,RB
Jacob Sørensen,70,63,55,65,67,68,70,Denmark,EFL Championship,Norwich,26,"184cm / 6'0""",77kg / 170lb,CDM
Luca Sosa,70,69,37,56,58,70,75,Argentina,Libertadores,Barcelona SC,30,"179cm / 5'10""",77kg / 170lb,CB
Alexis Soto,70,79,46,62,71,64,73,Argentina,Sudamericana,Defensa,30,"176cm / 5'9""",75kg / 165lb,LB
Arnaud Souquet,70,65,58,66,68,66,70,France,MLS,Chicago Fire FC,32,"179cm / 5'10""",74kg / 163lb,RB
Dario Špikić,70,82,66,63,73,49,60,Croatia,Liga Hrvatska,Dinamo Zagreb,25,"183cm / 6'0""",79kg / 174lb,RW
Jorne Spileers,70,73,31,58,57,70,71,Belgium,1A Pro League,Club Brugge,19,"188cm / 6'2""",79kg / 174lb,CB
Filip Stanković,70,69,68,66,75,50,68,Serbia,Serie A Enilive,Venezia,22,"187cm / 6'2""",79kg / 174lb,GK
Marius Ștefănescu,70,90,64,63,70,58,70,Romania,SUPERLIGA,FCSB,26,"173cm / 5'8""",66kg / 146lb,RM
Dejan Stojanović,70,71,65,64,73,37,70,North Macedonia,Ö. Bundesliga,SCR Altach,31,"196cm / 6'5""",89kg / 196lb,GK
Florian Stritzel,70,72,68,54,70,34,74,Germany,3. Liga,Wehen Wiesbaden,30,"197cm / 6'6""",92kg / 203lb,GK
Petar Sučić,70,69,59,69,72,58,71,Croatia,Liga Hrvatska,Dinamo Zagreb,20,"183cm / 6'0""",76kg / 168lb,CM
Adrian Șut,70,70,62,62,63,69,78,Romania,SUPERLIGA,FCSB,25,"186cm / 6'1""",77kg / 170lb,CDM
Stratos Svarnas,70,73,36,49,50,70,79,Greece,PKO BP Ekstraklasa,Raków,26,"183cm / 6'0""",76kg / 168lb,CB
Oleksandr Svatok,70,63,36,54,51,71,71,Ukraine,MLS,Austin FC,29,"186cm / 6'1""",78kg / 172lb,CB
Daniel Svensson,70,77,50,70,71,66,68,Sweden,3F Superliga,FC Nordsjælland,22,"178cm / 5'10""",72kg / 159lb,CM
Williot Swedberg,70,71,68,66,71,59,60,Sweden,LALIGA EA SPORTS,RC Celta,20,"185cm / 6'1""",75kg / 165lb,CM
Ross Sykes,70,37,47,54,54,69,79,England,1A Pro League,R. Union St.-G.,25,"196cm / 6'5""",73kg / 161lb,CB
Moussa Sylla,70,84,69,60,72,24,64,Mali,Bundesliga 2,FC Schalke 04,24,"181cm / 5'11""",70kg / 154lb,ST
Panagiotis Tachtsidis,70,46,61,69,63,66,80,Greece,SUPERLIGA,CFR 1907 Cluj,33,"191cm / 6'3""",90kg / 198lb,CDM
Adam Taggart,70,83,69,60,68,38,71,Australia,A-League,Perth Glory,31,"183cm / 6'0""",69kg / 152lb,ST
Benjamin Tahirović,70,54,50,65,68,64,72,Bosnia and Herzegovina,Eredivisie,Ajax,21,"191cm / 6'3""",77kg / 170lb,CDM
Ștefan Târnovanu,70,68,65,65,73,55,73,Romania,SUPERLIGA,FCSB,24,"197cm / 6'6""",87kg / 192lb,GK
Djaniny,70,79,70,66,69,35,74,Cape Verde Islands,ROSHN Saudi League,Al Fateh,33,"190cm / 6'3""",78kg / 172lb,ST
Loum Tchaouna,70,75,72,63,71,37,59,France,Serie A Enilive,Latium,21,"180cm / 5'11""",67kg / 148lb,RW
Enzo Tchato,70,82,45,59,65,66,61,Cameroon,Ligue 1 McDonald's,Montpellier,21,"182cm / 6'0""",75kg / 165lb,RB
Sergio Tejera,70,66,65,69,69,66,76,Spain,Liga Cyprus,APOEL FC,34,"180cm / 5'11""",75kg / 165lb,CDM
Renzo Tesuri,70,86,63,64,71,42,48,Argentina,Primera División,Atlético Tucumán,28,"166cm / 5'5""",60kg / 132lb,RM
Romain Thomas,70,32,36,51,44,71,69,France,Ligue 2 BKT,SM Caen,36,"193cm / 6'4""",84kg / 185lb,CB
Brandon Thomas-Asante,70,83,69,58,70,31,74,Ghana,EFL Championship,Coventry City,25,"180cm / 5'11""",83kg / 183lb,ST
Tiago Orobó,70,78,71,51,65,26,76,Brazil,K League 1,Jeonbuk Hyundai,30,"190cm / 6'3""",75kg / 165lb,ST
Muhamed Tijani,70,72,69,55,62,27,79,Nigeria,EFL Championship,Plymouth Argyle,24,"191cm / 6'3""",86kg / 190lb,ST
Timor,70,36,66,71,66,67,77,Spain,LALIGA HYPERMOTION,CD Eldense,34,"185cm / 6'1""",80kg / 176lb,CM
Anton Tinnerholm,70,70,51,63,65,65,78,Sweden,Allsvenskan,Malmö FF,33,"176cm / 5'9""",75kg / 165lb,RB
Fernando Tobio,70,45,30,53,46,69,79,Argentina,Primera División,Huracán,34,"190cm / 6'3""",78kg / 172lb,CB
Umut Tohumcu,70,69,62,68,72,46,53,Germany,Bundesliga,TSG Hoffenheim,20,"175cm / 5'9""",71kg / 157lb,CAM
John Tolkin,70,81,46,63,64,65,68,United States,MLS,Red Bulls,22,"170cm / 5'7""",61kg / 134lb,LB
Santiago Toloza,70,66,69,67,69,49,50,Argentina,Primera División,Independiente,21,"171cm / 5'7""",69kg / 152lb,CAM
Mirko Topić,70,65,48,61,61,71,74,Serbia,Liga Portugal,FC Famalicão,23,"190cm / 6'3""",84kg / 185lb,CDM
Marlon Torres,70,74,43,50,49,68,80,Colombia,Sudamericana,Deportes Tolima,28,"180cm / 5'11""",70kg / 154lb,CB
Ahmed Touba,70,72,53,61,62,68,80,Algeria,Trendyol Süper Lig,Başakşehir,26,"190cm / 6'3""",81kg / 179lb,CB
Lewis Travis,70,63,59,64,66,67,78,England,EFL Championship,Blackburn Rovers,26,"183cm / 6'0""",83kg / 183lb,CDM
Enrique Triverio,70,45,74,55,69,30,74,Argentina,Libertadores,The Strongest,35,"183cm / 6'0""",82kg / 181lb,ST
Alexis Trouillet,70,63,55,69,74,60,63,France,Hellas Liga,Panathinaikos,23,"175cm / 5'9""",65kg / 143lb,CM
Frank Tsadjout,70,78,69,51,67,31,77,Italy,Serie BKT,Frosinone,25,"190cm / 6'3""",75kg / 165lb,ST
Keigo Tsunemoto,70,76,49,61,64,66,59,Japan,CSSL,Servette FC,25,"175cm / 5'9""",69kg / 152lb,RB
Josh Tymon,70,74,52,68,65,64,71,England,EFL Championship,Swansea City,25,"180cm / 5'11""",75kg / 165lb,LB
Iké Ugbo,70,74,68,57,68,29,69,Canada,EFL Championship,Sheffield Wed,25,"185cm / 6'1""",73kg / 161lb,ST
Benjamin Uphoff,70,69,69,64,71,38,69,Germany,3. Liga,FC Hansa Rostock,31,"192cm / 6'4""",84kg / 185lb,GK
Gerard Valentín,70,89,53,59,75,61,72,Spain,LALIGA HYPERMOTION,SD Huesca,31,"177cm / 5'10""",75kg / 165lb,RM
Manu Vallejo,70,72,70,67,70,43,61,Spain,LALIGA HYPERMOTION,Racing de Ferrol,27,"167cm / 5'6""",72kg / 159lb,ST
Rav van den Berg,70,65,35,51,60,70,70,Holland,EFL Championship,Middlesbrough,20,"190cm / 6'3""",73kg / 161lb,CB
Kévin Van Den Kerkhof,70,82,65,64,68,63,74,Algeria,Ligue 2 BKT,FC Metz,28,"190cm / 6'3""",79kg / 174lb,RM
Ignace Van der Brempt,70,76,55,64,70,64,74,Belgium,Serie A Enilive,Como,22,"187cm / 6'2""",76kg / 168lb,RB
Rick van Drongelen,70,61,26,56,53,69,73,Holland,Trendyol Süper Lig,Samsunspor,25,"187cm / 6'2""",85kg / 187lb,CB
Stijn van Gassel,70,71,68,64,74,44,68,Holland,Eredivisie,N.E.C. Nijmegen,27,"186cm / 6'1""",81kg / 179lb,GK
Nikola Vasilj,70,70,67,65,71,34,71,Bosnia and Herzegovina,Bundesliga,FC St. Pauli,28,"193cm / 6'4""",89kg / 196lb,GK
Will Vaulks,70,52,62,66,62,66,76,Wales,EFL Championship,Oxford United,31,"180cm / 5'11""",75kg / 165lb,CDM
Luis Vázquez,70,70,69,59,67,34,74,Argentina,1A Pro League,RSC Anderlecht,23,"190cm / 6'3""",85kg / 187lb,ST
Jesús Vázquez,70,72,50,65,66,67,62,Spain,LALIGA EA SPORTS,Valencia CF,21,"172cm / 5'8""",73kg / 161lb,LB
Stefano Vecchia,70,78,72,65,70,36,68,Sweden,Allsvenskan,Malmö FF,29,"182cm / 6'0""",80kg / 176lb,LM
Stiven Vega,70,65,58,67,65,68,71,Colombia,Libertadores,Millonarios,26,"178cm / 5'10""",70kg / 154lb,CDM
Daniele Verde,70,74,72,68,75,36,46,Italy,Serie BKT,Salernitana,28,"168cm / 5'6""",63kg / 139lb,RW
Vincent Vermeij,70,50,69,57,60,34,75,Holland,Bundesliga 2,Düsseldorf,30,"196cm / 6'5""",90kg / 198lb,ST
Ranko Veselinović,70,66,27,49,50,70,78,Serbia,MLS,Whitecaps FC,25,"190cm / 6'3""",77kg / 170lb,CB
Francesco Vicari,70,33,27,52,45,71,65,Italy,Serie BKT,Bari,30,"190cm / 6'3""",80kg / 176lb,CB
Joel Pereira,70,73,41,67,67,64,67,Portugal,PKO BP Ekstraklasa,Lech Poznań,27,"178cm / 5'10""",73kg / 161lb,RB
Alex Vigo,70,85,57,63,73,62,72,Argentina,Libertadores,Talleres,25,"175cm / 5'9""",74kg / 163lb,RB
Oliver Villadsen,70,86,48,63,71,62,66,Denmark,Bundesliga 2,1. FC Nürnberg,22,"176cm / 5'9""",70kg / 154lb,RB
Carlos Villalba,70,63,51,60,68,68,73,Argentina,Primera División,Platense,26,"175cm / 5'9""",71kg / 157lb,CDM
Andreas Voglsammer,70,74,69,66,69,43,79,Germany,Bundesliga 2,Hannover 96,32,"178cm / 5'10""",81kg / 179lb,ST
Aleksandar Vukotić,70,46,42,49,41,68,82,Serbia,Bundesliga 2,SV Darmstadt 98,29,"201cm / 6'7""",95kg / 209lb,CB
Güray Vural,70,74,68,71,71,64,64,Turkey,Trendyol Süper Lig,Antalyaspor,36,"177cm / 5'10""",65kg / 143lb,LB
Zak Vyner,70,68,35,56,62,70,72,Kenya,EFL Championship,Bristol City,27,"187cm / 6'2""",73kg / 161lb,CB
Robert Wagner,70,63,45,66,71,62,72,Germany,Bundesliga,FC St. Pauli,21,"181cm / 5'11""",80kg / 176lb,CM
Sebastian Walukiewicz,70,50,38,48,57,70,74,Poland,Serie A Enilive,Torino,24,"188cm / 6'2""",85kg / 187lb,CB
Andreas Weimann,70,70,72,65,71,45,72,Austria,EFL Championship,Blackburn Rovers,33,"178cm / 5'10""",76kg / 168lb,CAM
Brice Wembangomo,70,91,52,61,72,61,74,Norway,Eliteserien,FK Bodø/Glimt,27,"180cm / 5'11""",75kg / 165lb,RB
Joe Williams,70,56,57,66,68,67,67,England,EFL Championship,Bristol City,27,"185cm / 6'1""",80kg / 176lb,CDM
Joe Willis,70,71,70,65,70,47,71,United States,MLS,Nashville SC,36,"196cm / 6'5""",84kg / 185lb,GK
Willum Þór Willumsson,70,56,68,71,70,53,80,Iceland,EFL League One,Birmingham City,25,"193cm / 6'4""",84kg / 185lb,CAM
Nicolas Wimmer,70,49,45,51,59,70,79,Austria,Ö. Bundesliga,Wolfsberger AC,29,"190cm / 6'3""",90kg / 198lb,CB
Josh Windass,70,85,69,66,72,35,65,England,EFL Championship,Sheffield Wed,30,"176cm / 5'9""",68kg / 150lb,CAM
Lewis Wing,70,58,67,70,70,63,70,England,EFL League One,Reading,29,"185cm / 6'1""",83kg / 183lb,CM
David Møller Wolfe,70,77,52,59,68,65,72,Norway,Eredivisie,AZ,22,"185cm / 6'1""",78kg / 172lb,LB
Won Du Jae,70,63,51,62,60,67,80,Korea Republic,K League 1,Ulsan Hyundai,26,"187cm / 6'2""",83kg / 183lb,CDM
Güven Yalçın,70,78,72,61,71,23,62,Turkey,Liga Portugal,Arouca,25,"184cm / 6'0""",77kg / 170lb,ST
Gerard Yepes,70,63,55,67,69,68,50,Spain,Serie BKT,Sampdoria,22,"170cm / 5'7""",66kg / 146lb,CDM
Kenan Yıldız,70,75,61,66,73,28,61,Turkey,Serie A Enilive,Juventus,19,"185cm / 6'1""",75kg / 165lb,LW
Yuri,70,69,70,55,64,34,82,Brazil,K League 1,Jeju United,26,"185cm / 6'1""",78kg / 172lb,ST
Mihael Žaper,70,66,52,66,61,69,73,Croatia,Liga Hrvatska,Hajduk Split,26,"188cm / 6'2""",75kg / 165lb,CDM
Gabriel Magalhãese Zappa,70,75,55,61,67,65,70,Italy,Serie A Enilive,Cagliari,24,"183cm / 6'0""",78kg / 172lb,RB
Oskar Zawada,70,76,68,56,63,39,80,Poland,Eredivisie,RKC Waalwijk,28,"192cm / 6'4""",87kg / 192lb,ST
Deyovaisio Zeefuik,70,80,41,60,67,66,77,Holland,Bundesliga 2,Hertha BSC,26,"177cm / 5'10""",76kg / 168lb,RB
Andi Zeqiri,70,68,69,60,72,23,67,Switzerland,1A Pro League,KRC Genk,25,"185cm / 6'1""",81kg / 179lb,ST
Luca Zidane,70,72,67,66,70,37,71,France,LALIGA HYPERMOTION,Granada CF,26,"183cm / 6'0""",78kg / 172lb,GK
Nadir Zortea,70,64,59,67,72,67,52,Italy,Serie A Enilive,Cagliari,25,"175cm / 5'9""",70kg / 154lb,RB
Abdellah Zoubir,70,74,66,67,73,33,59,France,Liga Azerbaijan,Qarabağ FK,32,"180cm / 5'11""",75kg / 165lb,LW
Alemão,70,74,71,63,68,25,76,Brazil,LALIGA HYPERMOTION,R. Oviedo,26,"182cm / 6'0""",88kg / 194lb,ST
Paxten Aaronson,69,74,61,64,72,45,48,United States,Eredivisie,FC Utrecht,21,"175cm / 5'9""",63kg / 139lb,CAM
Afonso Freitas,69,69,52,60,68,64,66,Portugal,Liga Portugal,Nacional,24,"181cm / 5'11""",73kg / 161lb,LB
Jonás Acevedo,69,72,68,69,69,51,58,Argentina,Primera División,Instituto,27,"172cm / 5'8""",70kg / 154lb,LM
Aceves,69,70,68,69,72,24,69,Spain,LALIGA EA SPORTS,R. Valladolid CF,21,"190cm / 6'3""",85kg / 187lb,GK
Ebou Adams,69,71,58,60,64,67,80,Gambia,EFL Championship,Derby County,28,"178cm / 5'10""",76kg / 168lb,CDM
Sam Adekugbe,69,86,50,60,70,61,76,Canada,MLS,Whitecaps FC,29,"175cm / 5'9""",74kg / 163lb,LB
Albion Ademi,69,82,61,61,74,30,60,Albania,CSL,Tianjin JMT FC,25,"173cm / 5'8""",69kg / 152lb,LM
Arijan Ademi,69,62,63,62,69,67,74,North Macedonia,Liga Hrvatska,Dinamo Zagreb,33,"183cm / 6'0""",79kg / 174lb,CM
Shawn Adewoye,69,66,24,47,45,68,72,Belgium,Eredivisie,Fortuna Sittard,24,"181cm / 5'11""",81kg / 179lb,CB
Saad Agouzoul,69,44,38,53,51,70,67,Morocco,Ligue 1 McDonald's,AJ Auxerre,27,"192cm / 6'4""",75kg / 165lb,CB
Marc Aguado,69,65,54,68,66,66,61,Spain,LALIGA HYPERMOTION,Real Zaragoza,24,"178cm / 5'10""",68kg / 150lb,CDM
Alan Aguerre,69,71,66,62,72,47,70,Argentina,Sudamericana,Lanús,34,"181cm / 5'11""",76kg / 168lb,GK
Pablo Aguilar,69,51,52,54,57,70,70,Paraguay,Sudamericana,Sportivo Luqueño,37,"178cm / 5'10""",74kg / 163lb,CB
Martín,69,63,35,61,67,67,64,Spain,LALIGA HYPERMOTION,FC Cartagena,28,"178cm / 5'10""",72kg / 159lb,RB
Naouirou Ahamada,69,70,63,66,73,61,62,France,Ligue 1 McDonald's,Stade Rennais FC,22,"183cm / 6'0""",73kg / 161lb,CM
Lucas Ahijado,69,77,59,63,67,63,66,Spain,LALIGA HYPERMOTION,R. Oviedo,29,"173cm / 5'8""",67kg / 148lb,RB
Youssef Aït Bennasser,69,65,62,72,73,65,65,Morocco,Trendyol Süper Lig,Samsunspor,28,"184cm / 6'0""",74kg / 163lb,CDM
Arlind Ajeti,69,61,35,52,54,67,78,Albania,SUPERLIGA,CFR 1907 Cluj,30,"184cm / 6'0""",83kg / 183lb,CB
Samet Akaydın,69,61,37,44,49,69,76,Turkey,Trendyol Süper Lig,Fenerbahçe,30,"190cm / 6'3""",82kg / 181lb,CB
Babajide David Akintola,69,90,62,58,70,40,66,Nigeria,Trendyol Süper Lig,Çaykur Rizespor,28,"180cm / 5'11""",74kg / 163lb,RM
Abdulelah Al Amri,69,69,29,49,47,67,81,Saudi Arabia,ROSHN Saudi League,Al Ittihad,27,"184cm / 6'0""",75kg / 165lb,CB
Mohammed Al Owais,69,77,62,60,71,51,64,Saudi Arabia,ROSHN Saudi League,Al Hilal,32,"185cm / 6'1""",75kg / 165lb,GK
Yasser Al Shahrani,69,75,54,65,70,65,61,Saudi Arabia,ROSHN Saudi League,Al Hilal,32,"171cm / 5'7""",64kg / 141lb,LB
Raúl Alcaina,69,59,68,53,66,20,51,Spain,LALIGA HYPERMOTION,RC Deportivo,24,"181cm / 5'11""",77kg / 170lb,ST
Faride Alidou,69,83,59,60,73,28,61,Germany,Serie A Enilive,Hellas Verona,23,"186cm / 6'1""",84kg / 185lb,RM
Rasmus Alm,69,83,62,63,71,38,62,Sweden,MLS,St. Louis CITY SC,29,"174cm / 5'9""",70kg / 154lb,RM
Ricardo Santos,69,67,39,47,49,67,86,Portugal,EFL League One,Bolton,29,"196cm / 6'5""",100kg / 220lb,CB
Jak Alnwick,69,69,67,65,69,46,70,England,EFL Championship,Cardiff City,31,"187cm / 6'2""",82kg / 181lb,GK
Davo,69,80,69,60,71,36,66,Spain,LALIGA HYPERMOTION,RC Deportivo,29,"178cm / 5'10""",71kg / 157lb,LM
Skelly Alvero,69,58,52,63,67,64,80,France,Bundesliga,SV Werder Bremen,22,"202cm / 6'8""",93kg / 205lb,CDM
Antony,69,88,58,61,70,40,55,Brazil,MLS,Portland Timbers,23,"178cm / 5'10""",66kg / 146lb,LM
Stephan Ambrosius,69,65,30,45,52,68,75,Ghana,CSSL,FC St. Gallen,25,"182cm / 6'0""",80kg / 176lb,CB
Emiliano Amor,69,47,36,47,50,69,72,Argentina,Libertadores,Colo-Colo,29,"188cm / 6'2""",80kg / 176lb,CB
Magnus Kofod Andersen,69,69,59,67,71,61,76,Denmark,Serie A Enilive,Venezia,25,"170cm / 5'7""",64kg / 141lb,CM
Juan Andrada,69,56,51,66,65,63,75,Argentina,Primera División,Sarmiento,29,"183cm / 6'0""",77kg / 170lb,CDM
Stelios Andreou,69,71,30,55,56,68,76,Cyprus,1A Pro League,Sp. Charleroi,22,"188cm / 6'2""",78kg / 172lb,CB
Anderson Angulo,69,63,26,38,46,70,74,Colombia,Sudamericana,Deportes Tolima,28,"188cm / 6'2""",80kg / 176lb,CB
Álvaro Angulo,69,92,36,58,66,58,63,Colombia,Liga Colombia,Atl. Nacional,27,"177cm / 5'10""",68kg / 150lb,LB
Iván Angulo,69,86,60,61,71,40,53,Colombia,MLS,Orlando City,25,"170cm / 5'7""",66kg / 146lb,LM
Oliver Antman,69,77,65,64,72,37,59,Finland,Eredivisie,Go Ahead Eagles,23,"185cm / 6'1""",75kg / 165lb,RW
Alexis Antunes,69,70,63,66,74,51,65,Switzerland,CSSL,Servette FC,24,"181cm / 5'11""",71kg / 157lb,CM
Adil Aouchiche,69,65,63,70,71,56,57,France,EFL Championship,Sunderland,22,"181cm / 5'11""",72kg / 159lb,CAM
Mattia Aramu,69,74,62,70,71,52,61,Italy,Serie BKT,Mantova,29,"180cm / 5'11""",69kg / 152lb,RW
Alejandro Araque,69,73,66,64,69,47,64,Venezuela,Libertadores,Dep. Táchira,29,"180cm / 5'11""",80kg / 176lb,GK
César Araújo,69,65,53,56,63,63,70,Uruguay,MLS,Orlando City,23,"178cm / 5'10""",69kg / 152lb,CDM
Héber,69,66,70,55,64,32,68,Brazil,CSL,Cangzhou FC,33,"182cm / 6'0""",78kg / 172lb,ST
Blas Armoa,69,80,63,63,67,23,57,Paraguay,Primera División,Tigre,24,"175cm / 5'9""",69kg / 152lb,RM
Bright Akwo Arrey-Mbi,69,84,29,47,57,67,78,Germany,Liga Portugal,SC Braga,21,"187cm / 6'2""",80kg / 176lb,CB
Anderson Arroyo,69,71,29,55,61,69,74,Colombia,LALIGA HYPERMOTION,Burgos CF,24,"176cm / 5'9""",71kg / 157lb,CB
Jasir Asani,69,80,63,64,68,34,60,Albania,K League 1,GwangJu FC,29,"179cm / 5'10""",62kg / 137lb,RM
Carlos Ascues,69,57,61,60,66,67,75,Peru,Sudamericana,UCV,32,"187cm / 6'2""",82kg / 181lb,CB
Joel Asoro,69,89,65,59,70,21,70,Sweden,Ligue 2 BKT,FC Metz,25,"176cm / 5'9""",75kg / 165lb,RM
Gustavo Assunção,69,64,58,63,70,66,65,Brazil,Liga Portugal,FC Famalicão,24,"178cm / 5'10""",70kg / 154lb,CDM
Mehmet Can Aydın,69,77,58,64,73,65,66,Turkey,Bundesliga 2,FC Schalke 04,22,"179cm / 5'10""",76kg / 168lb,RB
Florian Ayé,69,84,68,56,67,31,73,France,Ligue 1 McDonald's,AJ Auxerre,27,"184cm / 6'0""",80kg / 176lb,ST
Paulo Azzi,69,82,63,64,71,61,69,Brazil,Serie A Enilive,Cagliari,30,"188cm / 6'2""",80kg / 176lb,LB
Miguel Baeza,69,65,64,72,70,44,50,Spain,Liga Portugal,Nacional,24,"177cm / 5'10""",76kg / 168lb,RW
